Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,20000,1197,924,2317,3264,9475,1,64292,"0,000%","158,67223","308,27","0,00"
/P1-base/procesapago,20000,1234,943,2399,3349,9582,4,64366,"0,000%","158,16028","129,12","0,00"
Total,40000,1215,933,2360,3291,9550,1,64366,"0,000%","310,75443","428,72","0,00"
