1536 648.340155 3640171769 2986925 219.945789 455150135 964012
1552 407.890602 4260549220 4216166 238.131047 469421043 946020
1568 454.113078 4126406824 3688883 248.581615 484202018 986015
1584 452.794797 4530282272 4391794 251.230818 499383097 1055283
1600 488.303587 4240654431 3520959 265.673898 515031187 1137630
1616 485.509460 4812410080 4571006 277.823759 530864221 1208920
1632 518.131543 4652942415 3996110 272.560584 547165665 1291846
1648 532.857067 5104448673 4753802 290.514315 563913018 1415858
1664 612.751492 4689029389 3635165 305.774513 581530029 1672109
1680 545.712865 5407797254 4940182 309.924639 598567325 1675944
1696 586.040440 5222158788 4315628 316.349586 616466344 1793827
1712 581.246781 5722926687 5130146 326.391024 634889837 1993379
1728 637.881654 5341992714 4106750 336.637327 653778469 2196267
1744 615.485164 6050070686 5323694 344.675053 672959347 2369745
1760 646.255873 5836005526 4647441 357.958139 692556516 2526327
1776 663.006426 6389453466 5520826 365.973611 712802226 2811167
1792 890.171036 5818142557 5670930 391.945771 734591386 3319825
