Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,10000,31,16,76,115,224,1,291,"0,000%","170,48264","331,12","0,00"
/P1-base/procesapago,10000,42,29,89,130,243,3,314,"0,000%","168,44375","160,47","0,00"
Total,20000,36,22,84,121,231,1,314,"0,000%","324,41727","469,58","0,00"
