Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,15000,280,279,512,605,713,1,788,"0,000%","233,73588","454,06","0,00"
/P1-base/procesapago,15000,294,292,524,619,725,3,800,"0,000%","232,27365","179,04","0,00"
Total,30000,287,285,517,611,720,1,800,"0,000%","449,55270","609,92","0,00"
