Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,12500,121,105,276,307,338,1,371,"0,000%","208,55579","405,12","0,00"
/P1-base/procesapago,12500,133,116,292,320,349,3,389,"0,000%","208,18760","164,27","0,00"
Total,25000,127,110,285,314,345,1,389,"0,000%","402,25261","549,39","0,00"
