Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,2500,3,2,7,13,31,1,41,"0,000%","44,11427","85,67","0,00"
/P1-base/procesapago,2500,8,6,14,21,39,3,78,"0,000%","43,80969","29,78","0,00"
Total,5000,5,4,12,17,36,1,78,"0,000%","83,86166","109,93","0,00"
